ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,TSS,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3_N,NH4_N,DIN,DON,ANC,H,Ca,Mg,Na,K,NH4,F,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,%ION,DIFF,%_COND,COND,LAB_NOTES
FCW 283,283,Barnes Meadow Reservoir Outflow,BMD_042621,BMD,4/26/2021,10:46,,NORM,3.4,0,15,6.67,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95,0.02,0.07,0.09,0.9,444.5,0.07,282.19,64.18,137.02,23.27,4.99,1.58,21.44,1.77,0.02,40.6,509.91,511.72,1021.64,-0.18,506.66,63.81,442.85,OK,-1.14,OK,50.46,
FCW 321,321,Chambers Lake Inflow,CBRI_050321,CBRI,5/3/2021,9:37,Water temperature error.,NORM,-6,0,1.6,2.2,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72,0.18,0.01,0.19,0.33,112.21,0.04,242.22,83.19,80.21,21.66,0.61,3.16,16.7,12.87,0,285.66,430.6,427.94,858.53,0.31,427.28,315.23,112.05,OK,0.54,OK,49.41,
FCW 322,322,Chambers Lake Outflow,CHD_050321,CHD,5/3/2021,10:00,Water temperature error.,NORM,-5,0,1,0.11,2.96,0.28,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42,0.06,0.02,0.08,0.21,470.21,0.08,301.6,110.36,101.39,21.59,1.17,3.79,27.82,4.21,0,175.31,681.34,536.18,1217.53,11.92,534.93,207.34,327.59,OK,-2.39,OK,62.82,
FCW 323,323,Barnes Meadow Reservoir Outflow,BMD_050321,BMD,5/3/2021,10:20,Water temperature error.,NORM,-3,0,9,8.21,10.05,0.73,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54,0.03,0.06,0.09,0.64,142.61,0.1,271.46,62.13,133.2,23.58,4.5,3,39.01,1.94,0,302.71,489.27,494.96,984.23,-0.58,490.36,343.66,146.71,OK,-0.02,OK,56.41,
FCW 345,345,Chambers Lake Inflow,CBRI_051021,CBRI,5/10/2021,9:30,,NORM,,0,1.75,1,4.2,0.39,7.16,469.68,65.04,1.46,0.01,0.83,1.06,6.19,0.06,2.15,0.74,0.1,11.22,0.17,0.01,0.17,0.22,469.68,0.07,309.13,87.55,63.29,21.33,0.5,3.05,60.71,11.9,1.04,233.64,780.01,481.87,1261.88,23.63,481.3,306.24,175.06,OK,3.64,OK,67.4,
FCW 346,346,Chambers Lake Outflow,CHD_051021,CHD,5/10/2021,9:55,,NORM,1.6,0,1.25,2,3.34,0.34,7.02,465.58,62.25,1.01,0.02,0.77,1.16,5.74,0.06,1.53,0.66,0.05,9.4,0.15,0.01,0.16,0.18,465.58,0.1,286.58,95.54,44.11,19.69,0.96,2.95,43.16,10.62,0.55,195.72,718.58,446.98,1165.56,23.3,445.92,249.5,196.42,OK,-1.54,OK,61.29,
FCW 347,347,Barnes Meadow Reservoir Outflow,BMD_051021,BMD,5/10/2021,10:15,,NORM,2.86,0,5.5,8,9.28,0.66,7.14,702.12,97.33,1.31,0.08,1.07,1.5,9.59,0.05,2.37,0.35,0.09,23.68,0.08,0.06,0.14,0.52,702.12,0.07,478.34,123.68,56.81,27.29,4.21,2.63,66.98,5.6,0.99,493.12,1271.44,690.4,1961.85,29.62,686.12,565.7,120.42,OK,9.77,OK,106.84,
FCW 381,381,Chambers Lake Inflow,CBRI_051721,CBRI,5/17/2021,9:30,,NORM,,0,0.8,0,4.82,0.46,7.44,445.48,65.93,1.5,0.01,1.03,1.51,7.82,0.05,1.49,0.8,0.31,11.04,0.18,0.01,0.19,0.27,445.48,0.04,390.33,123.93,65.03,26.34,0.62,2.37,41.98,12.87,3.29,229.82,735.81,606.28,1342.09,9.65,605.63,284.68,320.95,OK,7.81,OK,71.09,
FCW 382,382,Chambers Lake Outflow,CHD_051721,CHD,5/17/2021,9:45,,NORM,,0,3,8,4.2,0.36,7.46,484.32,64.08,1.47,0.03,0.93,1.29,6.07,0.05,1.66,0.51,0.27,8.52,0.11,0.02,0.14,0.23,484.32,0.03,303.09,106.23,63.85,23.76,1.66,2.53,46.76,8.18,2.84,177.41,722.04,498.64,1220.68,18.3,496.94,232.35,264.6,OK,-0.82,OK,63.55,
FCW 383,383,Barnes Meadow Reservoir Outflow,BMD_051721,BMD,5/17/2021,10:00,,NORM,,0,3.4,7.92,9.61,0.8,7.77,795.89,103.53,1.85,0.21,1.33,1.83,10.98,0.05,1.99,0.56,0.33,26.93,0.13,0.16,0.29,0.51,795.89,0.02,548.1,150.42,80.43,33.94,11.59,2.53,56.24,9.11,3.51,560.77,1428.05,824.5,2252.54,26.79,812.89,626.12,186.77,OK,18.05,OK,122.21,
FCW 394,394,Chambers Lake Inflow,CBRI_052421,CBRI,5/24/2021,9:30,,NORM,,0,1,1.98,5.06,0.4,7.17,422.3,77.79,2.06,0.02,1.2,2.35,9.21,0.09,1.83,0.79,0.43,12.89,0.18,0.01,0.19,0.21,422.3,0.07,459.68,193.46,89.78,30.67,1.02,4.47,51.5,12.82,4.49,268.37,763.96,774.67,1538.63,-0.7,773.58,332.69,440.89,OK,5.34,OK,81.94,
FCW 395,395,Chambers Lake Outflow,CHD_052421,CHD,5/24/2021,9:50,,NORM,2.42,0,1.9,0,4.62,0.45,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45,0.12,0.02,0.13,0.32,443.67,0.07,360.31,166.14,85.6,23.45,1.22,4.58,28.78,8.33,3,217.57,705.93,636.79,1342.72,5.15,635.5,254.68,380.82,OK,9.23,OK,70.06,
FCW 396,396,Barnes Meadow Reservoir Outflow,BMD_052421,BMD,5/24/2021,10:00,No TSS,NORM,3.585,0,2.1,2,7.59,0.48,6.89,491.76,84.37,2.43,0.1,1.25,1.65,10.52,0.03,1.54,0.24,0,12.67,0.05,0.08,0.13,0.35,491.76,0.13,525.1,135.61,105.79,32.05,5.43,1.79,43.38,3.82,0,263.87,804.62,804.11,1608.73,0.03,798.54,311.07,487.47,OK,1.11,OK,85.31,
FCW 425,425,Chambers Lake Inflow,CBRI_060121,CBRI,6/1/2021,11:00,,NORM,,0,2.5,4,5.32,0.47,7.24,380.57,47.78,1.84,0.02,0.89,1.1,6.25,0.04,0.75,0.45,0.01,5.36,0.1,0.02,0.12,0.35,380.57,0.06,311.63,90.76,80.04,22.64,1.16,1.84,21.27,7.34,0.08,111.58,522.69,506.28,1028.97,1.59,505.06,140.19,364.87,OK,10.41,OK,52.76,
FCW 426,426,Chambers Lake Outflow,CHD_060121,CHD,6/1/2021,11:00,,NORM,,0,2,0,4.03,0.36,7.17,436.78,64.81,1.71,0.03,0.98,1.43,7.03,0.04,1.01,0.37,0,6.71,0.08,0.02,0.11,0.25,436.78,0.07,351,117.59,74.25,25.14,1.61,2.11,28.36,6.04,0,139.65,612.94,569.65,1182.59,3.66,567.98,174.05,393.93,OK,-6.08,OK,60.87,
FCW 427,427,Barnes Meadow Reservoir Outflow,BMD_060121,BMD,6/1/2021,11:10,,NORM,,0,3.5,4,7.64,0.4,6.99,446.33,75.68,2.26,0.05,1.19,1.52,9.75,0.03,1.41,0.22,0,11.24,0.05,0.04,0.09,0.31,446.33,0.1,486.28,124.67,98.22,30.33,2.88,1.63,39.88,3.51,0,233.97,725.33,742.48,1467.81,-1.17,739.49,277.37,462.13,OK,2.65,OK,77.69,
FCW 442,442,Long Draw Reservoir,LNGR_060221,LNGR,6/2/2021,9:56,,NORM,,0.27,,1,9.45,0.59,6.77,157.14,27.29,0.86,0.03,0.53,0.7,4.04,0.09,0.32,0.4,0,2.97,0.09,0.02,0.11,0.47,157.14,0.17,201.35,57.52,37.41,13.63,1.44,4.58,9,6.46,0,61.88,239.05,311.52,550.57,-13.16,309.91,77.34,232.57,OK,4.56,OK,28.53,
FCW 443,443,Long Draw Reservoir Outflow,LNGO_060221,LNGO,6/2/2021,10:30,,NORM,,0.04,,-3.58,8.93,0.6,6.59,88.64,19.78,0.9,0.03,0.44,0.51,2.16,0.02,0.52,0.52,0,1.53,0.12,0.02,0.14,0.47,88.64,0.26,107.73,42.13,38.97,11.33,1.44,1.26,14.53,8.38,0,31.85,144.67,201.87,346.54,-16.51,200.17,54.76,145.41,OK,-7.32,OK,18.33,
